 0.000000e+00  1.000000e-15  0.000000e+00 -1.161578e-24  0.000000e+00 -1.161578e-24  0.000000e+00  2.323156e-24 
 1.000000e-01  1.030262e-12  1.000000e-01 -7.825198e-25  1.000000e-01 -4.034617e-25  1.000000e-01  1.185981e-24 
 2.000000e-01  4.560357e-13  2.000000e-01 -7.745562e-25  2.000000e-01 -3.875344e-25  2.000000e-01  1.162091e-24 
 3.000000e-01  5.418708e-13  3.000000e-01 -7.743889e-25  3.000000e-01 -3.871998e-25  3.000000e-01  1.161589e-24 
 4.000000e-01  6.415732e-13  4.000000e-01 -7.743853e-25  4.000000e-01 -3.871928e-25  4.000000e-01  1.161578e-24 
 5.000000e-01  7.415670e-13  5.000000e-01 -7.743853e-25  5.000000e-01 -3.871927e-25  5.000000e-01  1.161578e-24 
 6.000000e-01  8.415668e-13  6.000000e-01 -7.743853e-25  6.000000e-01 -3.871927e-25  6.000000e-01  1.161578e-24 
 7.000000e-01  9.415668e-13  7.000000e-01 -7.743853e-25  7.000000e-01 -3.871927e-25  7.000000e-01  1.161578e-24 
 8.000000e-01  1.041567e-12  8.000000e-01 -7.743853e-25  8.000000e-01 -3.871927e-25  8.000000e-01  1.161578e-24 
 9.000000e-01  1.141567e-12  9.000000e-01 -7.743853e-25  9.000000e-01 -3.871927e-25  9.000000e-01  1.161578e-24 
 1.000000e+00  1.241567e-12  1.000000e+00 -7.743853e-25  1.000000e+00 -3.871927e-25  1.000000e+00  1.161578e-24 
